gene_name,epoch,loss
E,9,0.0689005
E,19,0.0710086
E,29,0.065702245
E,39,0.06586358
E,49,0.07044088
E,59,0.06725009
N,9,0.07643941
N,19,0.08090219
N,29,0.09926307
N,39,0.07149113
N,49,0.07481101
N,59,0.09141843
N,69,0.076371685
R2,9,0.14271894
R2,19,0.17125705
R2,29,0.1391128
R2,39,0.15111123
R2,49,0.1338017
R2,59,0.12873681
R2,69,0.13856529
R2,79,0.14086021
R2,89,0.12405206
R2,99,0.15469688
R2,109,0.1203069
R2,119,0.14103597
R2,129,0.11769279
R2,139,0.13449338
R2,149,0.15748261
R2,159,0.13299222
R3,9,0.16320755
R3,19,0.16555847
R3,29,0.1607771
R3,39,0.17942934
R3,49,0.16268128
R3,59,0.15521729
R3,69,0.14838031
R3,79,0.16204312
R3,89,0.1406796
R3,99,0.12982818
R3,109,0.11386362
R3,119,0.048727028
R3,129,0.062230326
R3,139,0.07902133
R3,149,0.06529002
S,9,0.26242366
S,19,0.24253172
S,29,0.22368865
S,39,0.2264474
S,49,0.21329151
S,59,0.21594314
S,69,0.22132368
S,79,0.21936712
T,9,0.1987357
T,19,0.19461471
T,29,0.18587857
T,39,0.18579485
T,49,0.18590236
T,59,0.19022828
T,69,0.1931349
Z,9,0.3530107
Z,19,0.31752107
Z,29,0.29309642
Z,39,0.30418426
Z,49,0.30395344
Z,59,0.29917404
